"id","tradingName","stockCode","lastPrice","roe","marketcap","totalRev","pe","yieldPercent","sector","gtiScore","oneYearChange"
791,"China Env Res","RS1",0.006,-4.01,83.498,93.188,NULL,NULL,"Automobiles & Auto Parts",NULL,19.66
792,"China Everbright","U9E",0.245,9.96,700.915,1228.933,3.54,8.86,"Utilities",74,9.35
793,"China Fishery","B0Z",0.076,2.22,264.213,646.305,NULL,NULL,"Food & Beverages",45,-20.31
794,"China Intl","BEH",0.102,-17.25,7.739,20.243,NULL,NULL,"Industrial & Commercial Services",70,-32.79
795,"China Mining","BHD",0.03,35.59,12.24,5.787,0.63,NULL,"Real Estate",60,1527.83
796,"China Yuanbang","BCD",0.18,-13.39,12.492,15.483,NULL,NULL,"Real Estate",58,-84.17
797,"ChinaKangdaFood","P74",0.045,-1.29,129.884,1859.101,NULL,NULL,"Food & Beverages",56,4.13
798,"ChinaKundaTech","GU5",0.017,-41.99,6.967,3.854,NULL,NULL,"Chemicals",67,-35.94
799,"ChinaSunsine","QES",0.47,20.74,462.192,780.231,3.49,2.13,"Chemicals",57,30.89
800,"Chip Eng Seng","C29",0.75,0.88,618.014,1129.245,85.42,2.67,"Real Estate",81,12.13
801,"Choo Chiang","42E",0.31,15.51,64.48,82.39,7.89,7.42,"Industrial Goods",69,16.53
802,"Chuan Hup","C33",0.22,0.81,203.562,20.85,77.56,4.55,"Real Estate",60,-19.67
803,"CityDev","C09",8.16,14.68,7419.899,2906.217,5.95,NULL,"Real Estate",113,30.46
804,"Civmec","P9D",0.66,14.47,333.387,696.58,8.51,5.42,"Industrial & Commercial Services",84,42.61
805,"Clearbridge","1H3",0.034,-37.99,21.019,37.939,NULL,NULL,"Healthcare Services",70,22.32
806,"CNMC Goldmine","5TP",0.188,4.49,76.646,44.999,32.83,1.06,"Mineral Resources",65,29.22
808,"Combine Will","N0Z",0.855,6.34,27.64,194.028,3.55,5.85,"Personal & Household Products & Services",79,7.89
809,"ComfortDelGro","C52",1.2,5.8,2600.938,3655.7,16.47,4.13,"Transportation",101,5.92
810,"Cordlife","P8A",0.33,4.15,88.283,59.737,15.26,2.73,"Healthcare Services",66,15.56
811,"Cortina","C41",3.9,27.11,645.756,799.155,7.95,0.51,"Retailers",58,36.04
812,"COSCO SHP SG","F83",0.199,5.26,445.61,196.036,15.11,NULL,"Transportation",69,0.82
813,"CosmoSteel","B9S",0.13,2.84,37.752,46.083,16.35,5.77,"Mineral Resources",82,17.08
814,"Courage Inv","CIN",0.016,20.37,87.816,102.234,0.99,NULL,"Transportation",NULL,69.61
815,"Creative","C76",1.66,-13.36,124.5,81.279,NULL,NULL,"Technology Equipment",38,-27.4
816,"CreditBureauAsia","TCU",0.985,16.68,226.934,46.588,28.7,3.45,"Industrial & Commercial Services",63,3.27
817,"CSC","C06",0.009,-14.08,32.295,263.664,NULL,NULL,"Industrial & Commercial Services",71,6.05
818,"Darco Water Tech","BLR",0.11,-13.23,10.321,68.797,NULL,NULL,"Utilities",62,1.69
819,"Datapulse Tech","BKW",0.108,-5.35,23.755,1.921,NULL,NULL,"Real Estate",64,84.71
820,"DBS","D05",36.03,11.63,93231.859,10871,14.03,4,"Banking & Investment Services",115,4.6
821,"Debao Property","BTF",0.128,-3.64,9.27,37.082,NULL,15.63,"Real Estate",40,-39.45
822,"Del Monte Pac","D03",0.315,13.58,1083.649,3160.378,7.12,7.59,"Food & Beverages",107,6.48
823,"Delfi","P34",0.865,15.57,528.651,584.379,10.97,4.18,"Food & Beverages",64,14.75
824,"DFIRG USD","D01",3.33,2.68,4506.994,8961.7,157.45,2.25,"Food & Drug Retailing",NULL,-6.31
825,"Digilife Tech","BAI",1.7,NULL,23.597,NULL,NULL,NULL,"Telecommunications Services",73,NULL
826,"Don Agro","GRQ",0.205,12.91,30.806,39.576,3.28,4.16,"Food & Beverages",43,18.11
827,"Dragon","MT1",0.004,NULL,1.34,3.775,NULL,NULL,"Industrial Goods",64,30.34
828,"Duty Free Intl","5SO",0.132,3.05,162.254,40.947,48.14,1.52,"Retailers",54,-7.24
829,"Dyna-Mac","NO4",0.2,20.67,206.102,237.893,33.67,NULL,"Industrial Goods",56,NULL
830,"Econ Healthcare","EHG",0.196,1.15,50.372,49.723,125.64,1.17,"Healthcare Services",51,5.78
831,"EcoWise","5CT",0.078,-12.04,70.223,29.581,NULL,NULL,"Industrial & Commercial Services",78,-16.83
832,"Edition","5HG",0.004,-29.26,10.093,0.212,NULL,NULL,"Food & Beverages",58,-8.62
833,"Eindec","42Z",0.038,12.77,4.093,22.53,4.83,NULL,"Industrial & Commercial Services",58,-9.79
834,"Ellipsiz","BIX",0.265,2.2,44.289,55.215,17.93,3.77,"Technology Equipment",74,-1.06
835,"Emperador Inc.","EMI",0.505,12.65,327318.594,60218.887,33.27,NULL,"Food & Beverages",NULL,6.16
836,"Eneco Energy","R14",0.014,-10.57,32.349,44.023,NULL,NULL,"Energy - Fossil Fuels",38,15.37
837,"EnGro","S44",1.05,10.76,124.638,131.928,4,2.38,"Mineral Resources",69,15.69
838,"Envictus","BQD",0.144,-3.99,43.837,158.477,NULL,NULL,"Cyclical Consumer Services",53,34.93
839,"Enviro-Hub","L23",0.035,4.22,53.795,45.559,16.75,NULL,"Industrial & Commercial Services",57,35.15
840,"ES","5RC",0.045,-14.93,6.354,28.735,NULL,NULL,"Industrial Goods",72,68.35
841,"ETC Singapore","1C0",0.034,NULL,31.666,NULL,NULL,NULL,"Real Estate",82,NULL
842,"EuroSports Gbl","5G1",0.195,-18.2,51.675,62.426,NULL,NULL,"Retailers",84,36.22
843,"Ezra","5DN",0.011,-121.68,31.511,695.978,NULL,NULL,"Energy - Fossil Fuels",30,-3.44
844,"F & N","F99",1.17,4.1,1702.699,2003.214,13.65,4.27,"Food & Beverages",78,6.6
845,"Falcon Energy","5FL",0.027,NULL,22.719,39.011,NULL,NULL,"Energy - Fossil Fuels",50,-33.91
846,"Far East","5TJ",0.101,1.77,11.258,93.951,14.77,1.78,"Industrial Goods",64,34.05
847,"Far East Orchard","O10",1.09,3.03,517.451,115.545,13.31,2.75,"Cyclical Consumer Services",92,13.03
848,"Federal Int","BDU",0.132,4.87,18.581,122.131,4.74,NULL,"Energy - Fossil Fuels",70,82.62
849,"Figtree","5F4",0.033,-9.05,11.86,22.826,NULL,6.06,"Real Estate",59,97.24
850,"First Resources","EB5",1.53,22.53,2423.632,1530.282,7.1,4.97,"Food & Beverages",90,45.21
851,"First Sponsor","ADN",1.29,6.77,1192.162,547.666,13.81,2.67,"Real Estate",74,113.48
852,"FJ Benjamin","F10",0.025,8.29,29.683,80.903,10.2,NULL,"Retailers",61,21.04
853,"Food Empire","F03",0.765,14.49,419.276,460.991,8.87,2.12,"Food & Beverages",50,20.08
854,"Forise Int","8A1",0.125,2.15,5.325,1.602,98.47,NULL,"Industrial & Commercial Services",57,-21.72
855,"FortressMinerals","OAJ",0.4,21,200,61.767,12,2,"Mineral Resources",83,-16.27
856,"Frasers Property","TQ5",0.905,7.79,3553.068,3877.042,4.1,3.31,"Real Estate",86,3.01
857,"Frencken","E28",1.16,14.76,495.349,780.706,9.27,3.56,"Industrial Goods",32,10.99
858,"Fu Yu","F13",0.235,12.03,176.954,246.926,9,7.02,"Industrial Goods",74,62.19
859,"Full Apex","BTY",0.405,-1.77,17.293,194.109,NULL,NULL,"Chemicals",7,11.9
860,"Fuxing China","AWK",0.63,13.17,11.014,163.77,0.8,NULL,"Cyclical Consumer Products",59,19.32
861,"G Invacom","QS9",0.053,-3.44,14.967,105.398,NULL,NULL,"Technology Equipment",63,-12.35
