Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Hengyang Petro,5PD,0.185,-0.28,37.64,0,,,Energy - Fossil Fuels,52,
HG Metal,BTG,0.35,11.75,45.714,160.996,3.47,11.43,Mineral Resources,55,38.78
HGH,5GZ,0.013,-4.33,23.151,22.828,,,Mineral Resources,56,81.9
Hiap Hoe,5JK,0.76,1.55,360.664,97.009,30.93,0.66,Real Estate,74,18.34
Hiap Tong,5PO,0.074,9.09,22.797,85.224,3.08,,Banking & Investment Services,69,22.97
HL Global Ent,AVX,0.25,-1.78,23.479,2.458,,,Cyclical Consumer Services,76,-47.61
Ho Bee Land,H13,2.37,9.78,1666.911,368.683,4.2,4.22,Real Estate,68,38.8
Hock Lian Seng,J2T,0.285,11.2,145.95,147.73,5.93,4.39,Industrial & Commercial Services,68,44.22
Hoe Leong,H20,0.003,8.21,41.252,44.949,75,,Industrial Goods,64,
Hong Fok,H30,0.97,2.16,844.494,103.349,15.03,1.03,Real Estate,76,29.84
Hong Lai Huat,CTO,0.07,2.88,36.249,5.635,5.07,2.86,Real Estate,54,-59.11
Hong Leong Asia,H22,0.695,6.57,519.845,4190.424,8.4,2.88,Automobiles & Auto Parts,100,-19.31
Hong Leong Fin,S41,2.41,4.36,1080.011,243.837,8.29,4.98,Banking & Investment Services,85,-4.65
HongkongLand USD,H78,4.84,2.37,10778.796,2392.5,13.81,4.55,Real Estate,,10.77
Hor Kew,BBP,0.255,6.63,13.277,58.841,3.09,,Industrial & Commercial Services,33,-6.28
Hosen,5EV,0.053,5.52,17.22,68.146,9.69,3.77,Food & Drug Retailing,64,1.18
Hotel Grand,H18,0.895,0.88,661.786,121.548,57.45,1.12,Cyclical Consumer Services,54,8.82
Hotel Royal,H12,2,-2.16,241.92,31.694,,1.24,Cyclical Consumer Services,77,28.85
Hotung Inv,BLS,1.81,5.3,189.436,28.801,12.21,12.87,Banking & Investment Services,40,-52.67
