Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Hotel Grand,H18,0.88,0.88,658.089,121.548,57.12,1.12,Cyclical Consumer Services,54,8.82
Hotel Royal,H12,2,-2.16,241.92,31.694,,1.24,Cyclical Consumer Services,77,28.85
Hotung Inv,BLS,1.78,5.3,184.803,28.708,11.95,13.16,Banking & Investment Services,40,-52.67
HPL,H15,3.55,0.88,1852.444,424.081,146.69,1.13,Cyclical Consumer Services,50,49.52
HRnetGroup,CHZ,0.84,17.93,869.81,629.603,13.44,4.22,Industrial & Commercial Services,67,26.48
Huationg Global,41B,0.084,10.74,14.888,145.934,1.82,,Industrial & Commercial Services,69,-21.16
Hyphens Pharma,1J5,0.365,13.45,111.159,125.883,15.85,1.86,Pharmaceuticals & Medical Research,88,
ICP Ltd,5I4,0.009,0.84,31.117,7.368,142.86,,Cyclical Consumer Services,60,59.31
IFAST,AIY,5.45,3.66,1592.073,205.31,257.83,0.88,Financial Technology (Fintech) & Infrastructure,91,-5.04
IFS Capital,I49,0.182,3.64,69.178,44.003,10.86,4.24,Banking & Investment Services,56,11.66
IHH,Q0F,1.79,6.82,51955.656,17602.588,29.91,1.02,Healthcare Services,,7.16
Imperium Crown,5HT,0.01,-167.58,7.9,1.854,,,Real Estate,65,-23.67
Inch Kenneth,I4R,0,-1.32,174.611,28.195,,,Cyclical Consumer Services,,4.56
Incredible,RDR,0.002,-66.88,5.987,11.621,,,Technology Equipment,74,-36.32
Indofood Agri,5JS,0.31,7.39,456.967,1644.983,5.88,2.54,Food & Beverages,63,13.37
InnoTek,M14,0.505,1.42,124.562,173.72,45.58,3.96,Technology Equipment,77,-7.49
Interra Resource,5GI,0.037,24.83,24.246,28.363,2.39,,Energy - Fossil Fuels,57,151.78
Intl Cement,KUO,0.024,10.77,137.634,188.809,5.65,,Mineral Resources,61,15.5
Intraco,I06,0.29,-2.98,32.98,195.966,,,Industrial & Commercial Services,65,4.56
IPC Corp,AZA,0.091,-11.55,7.762,3.736,,,Cyclical Consumer Services,57,-39.85
IPS Securex,42N,0.035,2.99,13.122,15.768,44.26,,Technology Equipment,67,81.4
ISDN,I07,0.58,12.51,252.217,413.685,10.33,2.52,Industrial Goods,79,0.45
ISEC,40T,0.315,15.78,180.253,58.839,14.95,4.86,Healthcare Services,71,57.52
Isetan,I15,3.03,1.29,124.988,90.263,90.26,0.99,Retailers,59,10.72
ISOTeam,5WF,0.098,-33.58,33.095,99.878,,,Industrial & Commercial Services,61,0.9
iWOW Tech,NXR,0.23,40.79,60.58,34.077,11.53,1.57,Technology Equipment,,-18.24
IX Biopharma,42C,0.122,-29.24,93.489,14.39,,,Pharmaceuticals & Medical Research,72,724.64
Jackspeed,J17,0.131,,39.346,0,,,Automobiles & Auto Parts,67,
Jadason,J03,0.018,-49.95,13.069,45.147,,,Technology Equipment,58,18.18
Japan Foods,5OI,0.435,23.48,75.88,71.374,10.53,5.4,Cyclical Consumer Services,79,32.95
Japfa,UD2,0.315,3.74,661.376,6627.563,9.59,3.13,Food & Beverages,70,11.33
Jardine C&C,C07,28.19,12.92,11264.793,26666.225,9.2,4.41,Automobiles & Auto Parts,96,34.53
Jason Marine,5PF,0.15,0.49,15.9,31.079,141.51,4.17,Technology Equipment,67,-1.25
Jasper Inv,FQ7,0.002,,13.062,0,,,Energy - Fossil Fuels,56,
Jawala,1J7,0.092,1.89,10.929,6.004,50.58,3.26,Applied Resources,57,-41.6
JB Foods,BEW,0.45,10.31,136.399,648.112,6.07,3.33,Food & Beverages,63,16.46
JEP,1J4,0.36,17,149.02,90.982,12.87,,Industrial & Commercial Services,58,50.66
JES Intl,EG0,0.026,,30.883,0,,,Industrial Goods,12,
Jiutian Chemical,C8R,0.08,62.17,158.934,528.387,1.49,10.88,Chemicals,57,74.36
JMH USD,J36,51.14,8.5,14911.453,36647,6.24,4.1,Consumer Goods Conglomerates,,7.05
Joyas Intl,E9L,0.003,-8.32,6.639,0.708,,,Banking & Investment Services,26,
Jubilee,NHD,0.036,-24.88,11.439,159.55,,,Industrial Goods,56,-21.3
